"Country or Area","Year","Value"
"Croatia","2011","4095.32988971867"
"Croatia","2010","4145.18107885855"
"Croatia","2009","4069.52403339783"
"Croatia","2008","3990.7434684796"
"Croatia","2007","3994.54901134654"
"Croatia","2006","3969.97997937087"
"Croatia","2005","3833.01191768677"
"Croatia","2004","3811.73380333006"
"Croatia","2003","3706.87943670289"
"Croatia","2002","3527.08412841518"
"Croatia","2001","3508.62980644397"
"Croatia","2000","3425.73422270658"
"Croatia","1999","3470.94256082564"
"Croatia","1998","3401.56919175563"
"Croatia","1997","3419.16331301745"
"Croatia","1996","3439.26983323787"
"Croatia","1995","3471.3693899004"
"Croatia","1994","3512.74856814127"
"Croatia","1993","3694.61288879419"
"Croatia","1992","3776.10665789174"
"Croatia","1991","4234.88854646454"
"Croatia","1990","4382.44086240145"
"Cyprus","2018","884.545066062992"
"Cyprus","2017","875.263059974714"
"Cyprus","2016","858.373634614813"
"Cyprus","2015","832.42772158732"
"Cyprus","2014","820.841457144787"
"Cyprus","2013","820.464190010614"
"Cyprus","2012","826.520889724988"
"Cyprus","2011","837.100253327933"
"Cyprus","2010","831.914761105273"
"Cyprus","2009","824.018753219093"
"Cyprus","2008","821.713233763677"
"Cyprus","2007","823.402227186018"
"Cyprus","2006","820.189335565158"
"Cyprus","2005","818.500037608903"
"Cyprus","2004","835.49310454367"
"Cyprus","2003","840.208916067922"
"Cyprus","2002","848.413863596432"
"Cyprus","2001","824.174579941267"
"Cyprus","2000","792.517668596408"
"Cyprus","1999","776.034805905129"
"Cyprus","1998","772.644643955848"
"Cyprus","1997","771.17993481103"
"Cyprus","1996","766.99682108736"
"Cyprus","1995","750.074061058206"
"Cyprus","1994","728.926689819777"
"Cyprus","1993","715.692832322429"
"Cyprus","1992","691.220849319382"
"Cyprus","1991","673.091967966706"
"Cyprus","1990","661.43224367219"
"Czechia","2018","13154.9420177428"
"Czechia","2017","13280.2091159523"
"Czechia","2016","13478.716623814"
"Czechia","2015","13943.876482307"
"Czechia","2014","13878.4761258105"
"Czechia","2013","13879.7230629815"
"Czechia","2012","14460.4357671319"
"Czechia","2011","14477.9816123574"
"Czechia","2010","14445.9656349694"
"Czechia","2009","14245.7471243221"
"Czechia","2008","14594.5502523811"
"Czechia","2007","14472.8904991007"
"Czechia","2006","14907.9529117807"
"Czechia","2005","14675.1903461744"
"Czechia","2004","14302.9090805611"
"Czechia","2003","14724.3304785857"
"Czechia","2002","14713.1136905203"
"Czechia","2001","15134.8493433681"
"Czechia","2000","15378.5787168798"
"Czechia","1999","16203.8696609196"
"Czechia","1998","16932.6030040754"
"Czechia","1997","17618.193902779"
"Czechia","1996","18026.7656364843"
"Czechia","1995","18174.5493478743"
"Czechia","1994","18598.2429194052"
"Czechia","1993","19715.8451629969"
"Czechia","1992","20623.319502085"
"Czechia","1991","21959.7066902375"
"Czechia","1990","23527.8897622386"
"Denmark","2018","7368.4961408903"
"Denmark","2017","7280.5744353501"
"Denmark","2016","7252.96096893175"
"Denmark","2015","7201.29106609772"
"Denmark","2014","7274.49978953336"
"Denmark","2013","7308.40390209143"
"Denmark","2012","7400.8024884231"
"Denmark","2011","7508.19153092858"
"Denmark","2010","7667.56678390216"
"Denmark","2009","7603.82166428502"
"Denmark","2008","7734.27056538279"
"Denmark","2007","7850.52100473907"
"Denmark","2006","7874.89821943491"
"Denmark","2005","7979.28241528897"
"Denmark","2004","8219.21038534491"
"Denmark","2003","8398.56187744956"
"Denmark","2002","8373.84469313484"
"Denmark","2001","8435.60236739555"
"Denmark","2000","8194.99009926322"
"Denmark","1999","8270.35934761366"
"Denmark","1998","8380.68908849933"
"Denmark","1997","8328.21608051517"
"Denmark","1996","8447.78741995965"
"Denmark","1995","8339.0751531439"
"Denmark","1994","8266.48732928517"
"Denmark","1993","8386.30496708322"
"Denmark","1992","8196.32134574481"
"Denmark","1991","8126.70076395311"
"Denmark","1990","7941.91031537449"
"Estonia","2018","1117.40894057522"
"Estonia","2017","1129.41677433708"
"Estonia","2016","1125.23518216769"
"Estonia","2015","1146.79078869178"
"Estonia","2014","1181.29760670791"
"Estonia","2013","1216.18017406915"
"Estonia","2012","1218.32630815393"
"Estonia","2011","1200.6464292755"
"Estonia","2010","1243.70164102867"
"Estonia","2009","1222.71266712532"
"Estonia","2008","1207.16473505664"
"Estonia","2007","1222.51762966557"
"Estonia","2006","1206.18015694893"
"Estonia","2005","1217.73889783763"
"Estonia","2004","1249.96491098526"
"Estonia","2003","1231.97444684889"
"Estonia","2002","1229.50278514762"
"Estonia","2001","1273.09796121864"
"Estonia","2000","1238.02548696391"
"Estonia","1999","1199.27603557041"
"Estonia","1998","1288.1107922552"
"Estonia","1997","1329.17212353082"
"Estonia","1996","1275.41604997441"
"Estonia","1995","1261.9843701133"
"Estonia","1994","1301.62050110388"
"Estonia","1993","1343.6206165011"
"Estonia","1992","1581.38730707635"
"Estonia","1991","1822.659345908"
"Estonia","1990","1901.29408936837"
"European Union","2018","446029.334596335"
"European Union","2017","452761.63142821"
"European Union","2016","453520.717376194"
"European Union","2015","459247.545933147"
"European Union","2014","459501.618681073"
"European Union","2013","466765.270852585"
"European Union","2012","476423.378104419"
"European Union","2011","480728.303984915"
"European Union","2010","490884.897916043"
"European Union","2009","501782.248878724"
"European Union","2008","514020.655085306"
